"location_short","avg_salary","no_of_jobs","total_rank"
"NY","136.4326923076923077","52","8"
"VA","126.7696629213483146","89","9"
"DC","139.5000000000000000","26","10"
"TX","136.0588235294117647","17","13"
"MA","121.9677419354838710","62","14"
"CA","120.6090909090909091","165","15"
"WA","134.7812500000000000","16","15"
"NC","150.1111111111111111","9","17"
"IL","120.8833333333333333","30","19"
"PA","125.8333333333333333","12","19"
"OH","121.7142857142857143","14","22"
"WI","144.4166666666666667","6","22"
"MD","112.3750000000000000","40","26"
"OK","122.9166666666666667","6","29"
"NJ","120.6000000000000000","10","29"
"MO","114.9583333333333333","12","30"
"FL","118.4375000000000000","8","36"
"CO","103.6500000000000000","10","37"
"GA","109.6666666666666667","9","38"
"MI","119.0000000000000000","5","40"
"TN","102.1875000000000000","8","42"
"IN","113.4000000000000000","5","43"
